store_id,product_id,inventory_qty
S001,P0001,291
S001,P0002,140
S001,P0003,207
S001,P0004,358
S001,P0005,472
S001,P0006,121
S001,P0007,445
S001,P0008,377
S001,P0009,360
S001,P0010,309
S001,P0011,56
S001,P0012,344
S001,P0013,148
S001,P0014,172
S001,P0015,118
S001,P0016,214
S001,P0017,354
S001,P0018,244
S001,P0019,435
S001,P0020,335
S001,P0021,431
S001,P0022,149
S001,P0023,112
S001,P0024,355
S001,P0025,63
S001,P0026,390
S001,P0027,194
S001,P0028,272
S001,P0029,416
S001,P0030,145
S001,P0031,289
S001,P0032,326
S001,P0033,180
S001,P0034,455
S001,P0035,189
S001,P0036,76
S001,P0037,495
S001,P0038,335
S001,P0039,225
S001,P0040,100
S001,P0041,191
S001,P0042,405
S001,P0043,145
S001,P0044,79
S001,P0045,269
S001,P0046,207
S001,P0047,358
S001,P0048,365
S001,P0049,63
S001,P0050,83
S001,P0051,297
S001,P0052,399
S001,P0053,470
S001,P0054,55
S001,P0055,465
S001,P0056,308
S001,P0057,422
S001,P0058,300
S001,P0059,120
S001,P0060,109
S001,P0061,107
S001,P0062,114
S001,P0063,337
S001,P0064,336
S001,P0065,356
S001,P0066,279
S001,P0067,160
S001,P0068,174
S001,P0069,298
S001,P0070,129
S001,P0071,481
S001,P0072,222
S001,P0073,117
S001,P0074,93
S001,P0075,257
S001,P0076,196
S001,P0077,102
S001,P0078,219
S001,P0079,375
S001,P0080,148
S001,P0081,118
S001,P0082,260
S001,P0083,403
S001,P0084,373
S001,P0085,100
S001,P0086,110
S001,P0087,314
S001,P0088,401
S001,P0089,226
S001,P0090,87
S001,P0091,87
S001,P0092,117
S001,P0093,225
S001,P0094,434
S001,P0095,272
S001,P0096,109
S001,P0097,487
S001,P0098,210
S001,P0099,465
S001,P0100,331
S001,P0101,152
S001,P0102,220
S001,P0103,405
S001,P0104,182
S001,P0105,192
S001,P0106,226
S001,P0107,406
S001,P0108,359
S001,P0109,268
S001,P0110,384
S001,P0111,434
S001,P0112,147
S001,P0113,336
S001,P0114,63
S001,P0115,153
S001,P0116,107
S001,P0117,160
S001,P0118,495
S001,P0119,390
S001,P0120,269
S001,P0121,364
S001,P0122,318
S001,P0123,395
S001,P0124,65
S001,P0125,250
S001,P0126,297
S001,P0127,191
S001,P0128,241
S001,P0129,460
S001,P0130,350
S001,P0131,256
S001,P0132,79
S001,P0133,80
S001,P0134,384
S001,P0135,81
S001,P0136,251
S001,P0137,298
S001,P0138,474
S001,P0139,418
S001,P0140,273
S001,P0141,317
S001,P0142,478
S001,P0143,211
S001,P0144,260
S001,P0145,256
S001,P0146,84
S001,P0147,95
S001,P0148,174
S001,P0149,385
S001,P0150,350
S001,P0151,383
S001,P0152,155
S001,P0153,407
S001,P0154,66
S001,P0155,101
S001,P0156,138
S001,P0157,451
S001,P0158,342
S001,P0159,490
S001,P0160,130
S001,P0161,234
S001,P0162,102
S001,P0163,84
S001,P0164,421
S001,P0165,371
S001,P0166,346
S001,P0167,395
S001,P0168,102
S001,P0169,70
S001,P0170,209
S001,P0171,477
S001,P0172,57
S001,P0173,198
S001,P0174,495
S001,P0175,447
S001,P0176,478
S001,P0177,448
S001,P0178,152
S001,P0179,62
S001,P0180,344
S001,P0181,93
S001,P0182,343
S001,P0183,114
S001,P0184,236
S001,P0185,293
S001,P0186,286
S001,P0187,458
S001,P0188,363
S001,P0189,201
S001,P0190,206
S001,P0191,326
S001,P0192,75
S001,P0193,163
S001,P0194,351
S001,P0195,468
S001,P0196,335
S001,P0197,307
S001,P0198,431
S001,P0199,338
S001,P0200,230
S001,P0201,59
S001,P0202,133
S001,P0203,175
S001,P0204,364
S001,P0205,407
S001,P0206,370
S001,P0207,341
S001,P0208,132
S001,P0209,491
S001,P0210,184
S001,P0211,201
S001,P0212,79
S001,P0213,337
S001,P0214,291
S001,P0215,120
S001,P0216,71
S001,P0217,211
S001,P0218,265
S001,P0219,64
S001,P0220,427
S001,P0221,348
S001,P0222,216
S001,P0223,204
S001,P0224,92
S001,P0225,405
S001,P0226,477
S001,P0227,465
S001,P0228,394
S001,P0229,241
S001,P0230,469
S001,P0231,395
S001,P0232,408
S001,P0233,465
S001,P0234,110
S001,P0235,277
S001,P0236,485
S001,P0237,383
S001,P0238,353
S001,P0239,203
S001,P0240,210
S001,P0241,360
S001,P0242,348
S001,P0243,262
S001,P0244,212
S001,P0245,341
S001,P0246,159
S001,P0247,425
S001,P0248,154
S001,P0249,81
S001,P0250,264
S001,P0251,228
S001,P0252,117
S001,P0253,222
S001,P0254,254
S001,P0255,457
S001,P0256,191
S001,P0257,357
S001,P0258,142
S001,P0259,332
S001,P0260,478
S001,P0261,470
S001,P0262,112
S001,P0263,129
S001,P0264,292
S001,P0265,258
S001,P0266,236
S001,P0267,467
S001,P0268,133
S001,P0269,205
S001,P0270,337
S001,P0271,152
