product_id,product_name,category,brand,price
P0001,Bose Blender,Home,Bose,1283.84
P0002,Bose Microwave,Home,Bose,999.13
P0003,HP Air Fryer,Home,HP,173.56
P0004,Bose Headphones,Accessories,Bose,103.9
P0005,Apple Mouse,Accessories,Apple,928.39
P0006,Sony Laptop,Electronics,Sony,1671.46
P0007,Samsung Game,Gaming,Samsung,1445.63
P0008,Dell Console,Gaming,Dell,262.13
P0009,Sony Laptop,Electronics,Sony,265.89
P0010,HP Headphones,Accessories,HP,732.36
P0011,Apple Game,Gaming,Apple,272.02
P0012,HP Console,Gaming,HP,406.38
P0013,Samsung Charger,Accessories,Samsung,1618.74
P0014,HP Camera,Electronics,HP,254.24
P0015,HP Controller,Gaming,HP,851.1
P0016,Dell Mouse,Accessories,Dell,1365.89
P0017,LG Mouse,Accessories,LG,136.36
P0018,Bose Vacuum,Home,Bose,789.28
P0019,Dell Mouse,Accessories,Dell,995.44
P0020,LG Air Fryer,Home,LG,1080.9
P0021,Bose Charger,Accessories,Bose,1257.34
P0022,HP Phone,Electronics,HP,1747.41
P0023,LG Vacuum,Home,LG,1498.97
P0024,Apple Headphones,Accessories,Apple,1030.19
P0025,Bose Camera,Electronics,Bose,1293.58
P0026,Sony Microwave,Home,Sony,1882.24
P0027,Apple Controller,Gaming,Apple,388.15
P0028,HP Blender,Home,HP,1710.93
P0029,HP Blender,Home,HP,268.64
P0030,Dell Vacuum,Home,Dell,1296.13
P0031,Dell Vacuum,Home,Dell,379.85
P0032,Bose Vacuum,Home,Bose,1608.69
P0033,Dell Phone,Electronics,Dell,580.43
P0034,Apple Microwave,Home,Apple,759.97
P0035,LG Controller,Gaming,LG,512.19
P0036,Sony Tablet,Electronics,Sony,657.16
P0037,Samsung Phone,Electronics,Samsung,238.27
P0038,Apple Vacuum,Home,Apple,827.31
P0039,Bose Mouse,Accessories,Bose,1741.59
P0040,Dell Console,Gaming,Dell,200.26
P0041,Samsung Tablet,Electronics,Samsung,1978.16
P0042,Sony Mouse,Accessories,Sony,1549.11
P0043,Bose Headphones,Accessories,Bose,745.41
P0044,HP Controller,Gaming,HP,258.33
P0045,Samsung Camera,Electronics,Samsung,467.75
P0046,Samsung Camera,Electronics,Samsung,1440.37
P0047,Samsung Air Fryer,Home,Samsung,1255.53
