store_id,store_name,city
S001,Retail Store 1,Denver
S002,Retail Store 2,Seattle
S003,Retail Store 3,Boston
S004,Retail Store 4,Miami
S005,Retail Store 5,Boston
S006,Retail Store 6,New York
S007,Retail Store 7,Boston
S008,Retail Store 8,Boston
S009,Retail Store 9,Los Angeles
S010,Retail Store 10,Chicago
S011,Retail Store 11,Seattle
S012,Retail Store 12,Los Angeles
S013,Retail Store 13,Boston
S014,Retail Store 14,Boston
S015,Retail Store 15,Boston
S016,Retail Store 16,New York
S017,Retail Store 17,Denver
S018,Retail Store 18,Seattle
S019,Retail Store 19,Boston
S020,Retail Store 20,Chicago
